CODE_FOURNISSEUR;NO_COMMANDE_FOURNISSEUR;CODE_RAYON;CLASSE_STOCKAGE;SITUATION_COMMANDE;DATE_COMMANDE;DATE_LIVRAISON;CDBASE;EAN;LIBELLÉ_ARTICLE;QUANTITE_CONFIRMEE;QUANTITE_COMMANDEE;Commande_Origine;Code_Famille;Libelle_Famille;Libelle_Rayon;Mod_pas_cde;Passage_Prolog;IFLS;DATE_RECEPTION;NUM_COMMANDE_EXTERNE;DATE_CREATION
522;1605173;2;1064;41;12/05/2025;14/05/2025;4042746;3254381204312;12X50CL CRISTALINE;0;144;1604151;235;EAUX;LIQUIDES;P;0;751275;14/05/2025;;15/05/2025 17:24:22
522;1605646;2;1064;41;03/05/2025;15/05/2025;4042746;3254381204312;12X50CL CRISTALINE;144;0;1604649;235;EAUX;LIQUIDES;P;0;751275;15/05/2025;;15/05/2025 17:24:22
522;1605082;2;1064;39;13/05/2025;15/05/2025;4042746;3254381204312;12X50CL CRISTALINE;432;432;1604649;235;EAUX;LIQUIDES;P;0;751275;15/05/2025;VP020067;15/05/2025 17:24:22
522;1604989;2;1064;41;09/05/2025;12/05/2025;4042746;3254381204312;12X50CL CRISTALINE;0;0;1604153;235;EAUX;LIQUIDES;P;0;751275;13/05/2025;;15/05/2025 17:24:22
522;1604247;2;1064;41;09/05/2025;13/05/2025;4042746;3254381204312;12X50CL CRISTALINE;0;144;1603382;235;EAUX;LIQUIDES;P;0;751275;13/05/2025;;15/05/2025 17:24:22
509;1605671;1;1060;41;13/05/2025;14/05/2025;4432459;3560070555390;500G PENNE RIGATE QS CRF CLASS;96;96;1604645;75;PATES ALIMENTAIRES;EPICERIE;P;0;762838;14/05/2025;;15/05/2025 17:24:22
509;1606021;1;1060;39;15/05/2025;16/05/2025;4432459;3560070555390;500G PENNE RIGATE QS CRF CLASS;24;24;1606021;75;PATES ALIMENTAIRES;EPICERIE;P;1;762838;16/05/2025;VP021074;15/05/2025 17:24:22
509;1605814;1;1064;41;13/05/2025;14/05/2025;3701600;3245414662926;1KG FARINE BLE T55 SIMPL;0;520;1604642;65;FARINES ET ASSIMILES;EPICERIE;P;0;663104;14/05/2025;;15/05/2025 17:24:22
509;1606018;1;1064;39;15/05/2025;16/05/2025;3701600;3245414662926;1KG FARINE BLE T55 SIMPL;520;520;1606018;65;FARINES ET ASSIMILES;EPICERIE;P;1;663104;16/05/2025;VP021074;15/05/2025 17:24:22
509;1606303;1;1060;41;14/05/2025;15/05/2025;3740986;3560070334940;4/4 HARICOT VRT TF SIMPL;288;288;1605298;130;CONSERVES DE LEGUMES;EPICERIE;P;0;138944;15/05/2025;;15/05/2025 17:24:22
509;1605301;1;1060;39;14/05/2025;15/05/2025;3740986;3560070334940;4/4 HARICOT VRT TF SIMPL;0;0;1605301;130;CONSERVES DE LEGUMES;EPICERIE;P;1;138944;15/05/2025;;15/05/2025 17:24:22
509;1606021;1;1060;39;15/05/2025;16/05/2025;2960799;3174660084612;750G SUCRE POUDRE DPK B SAY;24;24;1606021;115;SUCRES;EPICERIE;P;1;321098;16/05/2025;VP021074;15/05/2025 17:24:22
509;1605114;1;1060;41;10/05/2025;12/05/2025;2960799;3174660084612;750G SUCRE POUDRE DPK B SAY;0;24;1604147;115;SUCRES;EPICERIE;P;0;321098;13/05/2025;;15/05/2025 17:24:22
691;1606042;8;1070;39;15/05/2025;17/05/2025;108986;3280220821006;200G COEUR DE LAITUE FLORETTE;40;40;1606042;646;4 EME GAMME;FRUITS ET LEGUMES;P;1;801960;17/05/2025;SF140525;15/05/2025 17:24:22
691;1605320;8;1070;39;14/05/2025;16/05/2025;108986;3280220821006;200G COEUR DE LAITUE FLORETTE;8;8;1605320;646;4 EME GAMME;FRUITS ET LEGUMES;P;1;801960;16/05/2025;SF130525;15/05/2025 17:24:22
749;1602002;11;1070;39;07/05/2025;17/05/2025;3765368;3571492670004;BQ PARM SAUMON 750G;12;12;0;719;POISSON DIVERS TRAD.;POISSONNERIE;E;0;177206;17/05/2025;;15/05/2025 17:24:22
749;1602001;11;1070;39;07/05/2025;16/05/2025;3765368;3571492670004;BQ PARM SAUMON 750G;12;12;0;719;POISSON DIVERS TRAD.;POISSONNERIE;E;0;177206;16/05/2025;;15/05/2025 17:24:22
691;1606039;9;1070;39;15/05/2025;19/05/2025;4168637;3560070504947;350G PAELLA CARREFOUR;4;4;1606039;674;TRAITEUR COUPE SERVICE;CHARCUTERIE COUPE / TRAITEUR;P;1;640051;19/05/2025;SF140525;15/05/2025 17:24:22
691;1605321;9;1070;39;14/05/2025;17/05/2025;4168637;3560070504947;350G PAELLA CARREFOUR;4;4;1605321;674;TRAITEUR COUPE SERVICE;CHARCUTERIE COUPE / TRAITEUR;P;1;640051;17/05/2025;SF130525;15/05/2025 17:24:22
509;1605301;1;1060;39;14/05/2025;15/05/2025;5543388;3560070825219;800G X100 BISCOTTES CRF CLASS;0;0;1605301;5;PANIFICATION SECHE;EPICERIE;P;1;131163;15/05/2025;;15/05/2025 17:24:22
509;1606021;1;1060;39;15/05/2025;16/05/2025;5543388;3560070825219;800G X100 BISCOTTES CRF CLASS;8;8;1606021;5;PANIFICATION SECHE;EPICERIE;P;1;131163;16/05/2025;VP021074;15/05/2025 17:24:22
509;1606310;1;1060;41;14/05/2025;15/05/2025;5543388;3560070825219;800G X100 BISCOTTES CRF CLASS;8;8;1605301;5;PANIFICATION SECHE;EPICERIE;P;0;131163;15/05/2025;;15/05/2025 17:24:22
509;1605114;1;1060;41;10/05/2025;12/05/2025;5543388;3560070825219;800G X100 BISCOTTES CRF CLASS;0;192;1604147;5;PANIFICATION SECHE;EPICERIE;P;0;131163;13/05/2025;;15/05/2025 17:24:22
794;1605094;1;1060;41;28/04/2025;14/05/2025;2658571;3245412654305;250G NOUILLE CHINOISE CRF SENS;0;80;1604185;166;ETHNIQUE;EPICERIE;P;0;888269;14/05/2025;;15/05/2025 17:24:22
794;1605861;1;1060;41;13/05/2025;15/05/2025;2658571;3245412654305;250G NOUILLE CHINOISE CRF SENS;96;96;1604682;166;ETHNIQUE;EPICERIE;P;0;888269;15/05/2025;;15/05/2025 17:24:22
794;1606060;1;1060;39;15/05/2025;17/05/2025;2658571;3245412654305;250G NOUILLE CHINOISE CRF SENS;64;64;1606060;166;ETHNIQUE;EPICERIE;P;1;888269;17/05/2025;VP021069;15/05/2025 17:24:22
509;1606021;1;1060;39;15/05/2025;16/05/2025;1041620;3270190114055;200G COOKIES NOISETTES CRF CLA;32;32;1606021;10;BISCUITS SUCRES;EPICERIE;P;1;029947;16/05/2025;VP021074;15/05/2025 17:24:22
509;1605114;1;1060;41;10/05/2025;12/05/2025;1041620;3270190114055;200G COOKIES NOISETTES CRF CLA;0;80;1604147;10;BISCUITS SUCRES;EPICERIE;P;0;029947;13/05/2025;;15/05/2025 17:24:22
794;1605151;1;1060;39;13/05/2025;20/05/2025;5509401;7622210402257;6X100G TENDR LT FAMIL MILKA;175;175;0;40;CHOCOLATS TABLETTE 5.5;EPICERIE;P;0;746438;20/05/2025;VP022037;15/05/2025 17:24:22
794;1605149;1;1060;39;13/05/2025;27/05/2025;5509401;7622210402257;6X100G TENDR LT FAMIL MILKA;25;0;0;40;CHOCOLATS TABLETTE 5.5;EPICERIE;P;0;746438;27/05/2025;VP022037;15/05/2025 17:24:22
509;1605301;1;1060;39;14/05/2025;15/05/2025;5435314;3560070924011;1KG RIZ LONG BLANCHI SIMPL;0;0;1605301;80;LEGUMES SECS ET RIZ;EPICERIE;P;1;328571;15/05/2025;;15/05/2025 17:24:22
509;1605671;1;1060;41;28/04/2025;14/05/2025;5435314;3560070924011;1KG RIZ LONG BLANCHI SIMPL;0;10;1604645;80;LEGUMES SECS ET RIZ;EPICERIE;P;0;328571;14/05/2025;;15/05/2025 17:24:22
509;1606310;1;1060;41;14/05/2025;15/05/2025;5435314;3560070924011;1KG RIZ LONG BLANCHI SIMPL;40;40;1605301;80;LEGUMES SECS ET RIZ;EPICERIE;P;0;328571;15/05/2025;;15/05/2025 17:24:22
522;1606494;2;1060;41;14/05/2025;16/05/2025;2282185;3245411901578;PET 6X33CL TONIC CRF SENSAT;8;8;1605307;245;SODAS,BOISS.FRUITS&JUS FRUITS;LIQUIDES;P;0;827424;16/05/2025;;15/05/2025 17:24:22
691;1606181;17;1070;39;15/05/2025;17/05/2025;5946572;7613035648494;265G PATE PIZZA FINE RDE HERTA;240;240;0;855;TRAITEUR LIBRE-SERVICE;CHARCUTERIE / TRAITEUR L.S.;P;0;200119;17/05/2025;VP020048;15/05/2025 17:24:22
509;1605301;1;1060;39;14/05/2025;15/05/2025;5905514;7622210601988;200G GRANOLA CHOCOLAT LAIT LU;0;0;1605301;10;BISCUITS SUCRES;EPICERIE;P;1;664338;15/05/2025;;15/05/2025 17:24:22
509;1606445;1;1060;41;14/05/2025;15/05/2025;5905514;7622210601988;200G GRANOLA CHOCOLAT LAIT LU;72;72;1605301;10;BISCUITS SUCRES;EPICERIE;P;0;664338;15/05/2025;;15/05/2025 17:24:22
522;1606494;2;1060;41;14/05/2025;16/05/2025;5346058;3560070824700;PET 1 5L COLA REGULA CRF CLASS;12;12;1605307;245;SODAS,BOISS.FRUITS&JUS FRUITS;LIQUIDES;P;0;935386;16/05/2025;;15/05/2025 17:24:22
522;1606027;2;1060;39;15/05/2025;17/05/2025;5346058;3560070824700;PET 1 5L COLA REGULA CRF CLASS;24;24;1606027;245;SODAS,BOISS.FRUITS&JUS FRUITS;LIQUIDES;P;1;935386;17/05/2025;VP021074;15/05/2025 17:24:22
509;1606445;1;1060;41;14/05/2025;15/05/2025;4351603;3560070554027;1KG PENNE RIGATE QS CRF CLASS;12;12;1605301;75;PATES ALIMENTAIRES;EPICERIE;P;0;762791;15/05/2025;;15/05/2025 17:24:22
509;1606021;1;1060;39;15/05/2025;16/05/2025;4351603;3560070554027;1KG PENNE RIGATE QS CRF CLASS;36;36;1606021;75;PATES ALIMENTAIRES;EPICERIE;P;1;762791;16/05/2025;VP021074;15/05/2025 17:24:22
509;1605301;1;1060;39;14/05/2025;15/05/2025;4351603;3560070554027;1KG PENNE RIGATE QS CRF CLASS;0;0;1605301;75;PATES ALIMENTAIRES;EPICERIE;P;1;762791;15/05/2025;;15/05/2025 17:24:22
509;1606310;1;1060;41;14/05/2025;15/05/2025;2769570;3038350343000;1KG COQUILLETTES C/R PANZANI;12;12;1605301;75;PATES ALIMENTAIRES;EPICERIE;P;0;L04628;15/05/2025;;15/05/2025 17:24:22
