CLASSE_STOCKAGE;DATE_LIVRAISON;QUANTITE_CONFIRMEE;Commande_Origine
1060;23/05/2025;872;PROMO
1061;23/05/2025;0;PROMO
1064;23/05/2025;420;PROMO
1060;24/05/2025;1728;PERMANENT
1060;24/05/2025;1906;PROMO
1061;24/05/2025;126;PERMANENT
1061;24/05/2025;11;PROMO
1064;24/05/2025;12;PERMANENT
1060;26/05/2025;53562;PERMANENT
1060;26/05/2025;3277;PROMO
1061;26/05/2025;197;PERMANENT
1061;26/05/2025;54;PROMO
1064;26/05/2025;8151;PERMANENT
1064;26/05/2025;12;PROMO
1070;26/05/2025;36;PROMO
1071;26/05/2025;0;PROMO
1080;26/05/2025;2852;PERMANENT
1060;27/05/2025;63869;PERMANENT
1060;27/05/2025;21839;PROMO
1061;27/05/2025;1053;PERMANENT
1061;27/05/2025;138;PROMO
1064;27/05/2025;16292;PERMANENT
1064;27/05/2025;1760;PROMO
1070;27/05/2025;32697;PERMANENT
1070;27/05/2025;5235;PROMO
1071;27/05/2025;10005;PERMANENT
1071;27/05/2025;5637;PROMO
1072;27/05/2025;108;PROMO
1080;27/05/2025;5838;PERMANENT
1080;27/05/2025;4011;PROMO
1060;28/05/2025;30450;PERMANENT
1060;28/05/2025;17556;PROMO
1061;28/05/2025;768;PERMANENT
1061;28/05/2025;902;PROMO
1064;28/05/2025;8591;PERMANENT
1064;28/05/2025;6735;PROMO
1070;28/05/2025;51666;PERMANENT
1070;28/05/2025;18912;PROMO
1071;28/05/2025;16903;PERMANENT
1071;28/05/2025;1915;PROMO
1080;28/05/2025;7700;PERMANENT
1080;28/05/2025;1182;PROMO
0;30/05/2025;75;PROMO
1060;30/05/2025;1287;PERMANENT
1060;30/05/2025;5326;PROMO
1061;30/05/2025;2825;PROMO
1064;30/05/2025;8484;PROMO
1070;30/05/2025;7010;PERMANENT
1070;30/05/2025;832;PROMO
1071;30/05/2025;980;PERMANENT
1071;30/05/2025;20;PROMO
1080;30/05/2025;1942;PROMO
1060;31/05/2025;15720;PROMO
1061;31/05/2025;1936;PROMO
1070;31/05/2025;274;PERMANENT
1070;31/05/2025;202;PROMO
0;02/06/2025;44;PROMO
1080;02/06/2025;1674;PROMO
1060;03/06/2025;19051;PROMO
1061;03/06/2025;865;PROMO
1064;03/06/2025;200;PROMO
1080;03/06/2025;2759;PROMO
1060;04/06/2025;20117;PROMO
1061;04/06/2025;1818;PROMO
1064;04/06/2025;192;PROMO
1080;04/06/2025;3385;PROMO
0;05/06/2025;1134;PROMO
1060;05/06/2025;870;PROMO
1061;05/06/2025;1179;PROMO
1062;05/06/2025;182;PROMO
1063;05/06/2025;532;PROMO
1064;05/06/2025;13969;PROMO
1080;05/06/2025;2134;PROMO
1060;06/06/2025;15638;PROMO
0;10/06/2025;18;PROMO
1060;10/06/2025;4570;PROMO
1061;10/06/2025;73;PROMO
1080;10/06/2025;3790;PROMO
0;11/06/2025;142;PROMO
1060;11/06/2025;53;PROMO
1061;11/06/2025;204;PROMO
1063;11/06/2025;42;PROMO
1064;11/06/2025;3802;PROMO
