CODE_FOURNISSEUR;NO_COMMANDE_FOURNISSEUR;CODE_RAYON;CLASSE_STOCKAGE;SITUATION_COMMANDE;DATE_COMMANDE;DATE_LIVRAISON;CDBASE;EAN;LIBELLÉ_ARTICLE;QUANTITE_CONFIRMEE;STOCK_MARCHAND;STOCK;RAL
557;1611953;13;1080;3;26/05/2025;28/05/2025;5867705;3599741001898;400G 4 FILET CABILLAU FIND MSC;6;24;20;0
557;1611953;13;1080;3;26/05/2025;28/05/2025;5902008;5905279248069;212G GYOZA POULET AJINOMOTO;40;38;0;0
557;1611953;13;1080;3;26/05/2025;28/05/2025;5947686;3560071013493;500G CREV CUI DEC C300/500SIMP;10;31;14;10
557;1611953;13;1080;3;26/05/2025;28/05/2025;5988230;3560071013899;8X75G FLT COLIN PANE TOMAT CRF;7;53;41;7
557;1611953;13;1080;3;26/05/2025;28/05/2025;5994243;3599741002871;450G CROUSTIBAT PTI TRESOR MSC;24;102;63;18
557;1611953;13;1080;3;26/05/2025;28/05/2025;6002222;3560071075361;750G PURE PATAT DOUC CRFCL AOB;12;27;18;0
691;1611962;;1070;3;26/05/2025;28/05/2025;6464232;3451790011245;250G BEURRE DOUX 41;24;136;68;48
691;1611962;;1070;3;26/05/2025;28/05/2025;26177;3155250001554;20CL CF EP LEG 15  BRIDELICE;24;112;95;0
691;1611962;;1070;3;26/05/2025;28/05/2025;107767;3266360548232;300G SAC DE PIERRE MI CHEVRE;16;33;19;0
691;1611962;;1070;3;26/05/2025;28/05/2025;843388;3270190020998;20CL CREME FRAICHE EPAI CRF CL;60;323;268;0
691;1611962;;1070;3;26/05/2025;28/05/2025;843422;3270190025696;180G BTE FROM CHEVR 45  CRF CL;36;150;118;0
691;1611962;;1070;3;26/05/2025;28/05/2025;843488;3270190025276;280G 8T SAUMON FUM ECO CRF EXT;8;16;10;0
691;1611962;;1070;3;26/05/2025;28/05/2025;1099821;3270190025542;BBE 250G CREM S/P 20  CRF CLA;144;245;105;0
691;1611962;;1070;3;26/05/2025;28/05/2025;2274440;3245411891800;100G EMINC SAUM FUM 5BAI CRF S;50;88;41;0
691;1611962;;1070;3;26/05/2025;28/05/2025;3628488;3245414510128;100G CHEVRE A DORER X4 CRF CLA;36;218;186;0
691;1611962;;1070;3;26/05/2025;28/05/2025;3717543;3560070338832;150G GORGONZOLA AOP CRF EXT;16;180;167;0
691;1611962;;1070;3;26/05/2025;28/05/2025;3962436;3560070431519;2X25CL BT CR UHT 12 MG CRF CLA;12;76;68;0
691;1611962;;1070;3;26/05/2025;28/05/2025;4237051;3560070514786;200G GRANA PADANO AOP CRF EXT;105;226;126;0
691;1611962;;1071;3;26/05/2025;28/05/2025;4757498;3245415313155;SKINP 2X125G STK HACHE BIO 5;24;62;11;28
691;1611962;;1071;3;26/05/2025;28/05/2025;4775985;3245415327398;2X125G ST  HACHE 15  CRF BIO;36;123;48;42
691;1611962;;1071;3;26/05/2025;28/05/2025;4776053;3245415327299;350G HACHE VRAC 5  CRF BIO;36;147;42;72
691;1611962;;1071;3;26/05/2025;28/05/2025;4776063;3245415327282;2X125G STEACK HACHE 5  CRF BIO;48;140;17;78
691;1611962;;1071;3;26/05/2025;28/05/2025;4856351;3245415349024;500G CHAIR CRF;36;139;73;32
691;1611962;;1071;3;26/05/2025;28/05/2025;4856353;3245415349017;500G FARCE CRF;76;265;111;80
691;1611962;;1071;3;26/05/2025;28/05/2025;4856359;3245415348812;330G CHIPOLATA X6 CRF;186;705;301;222
691;1611962;;1071;3;26/05/2025;28/05/2025;4856361;3245415348799;660G MERGUEZ X12 CRF;20;65;10;36
691;1611962;;1071;3;26/05/2025;28/05/2025;4856492;3245415348911;660G CHIPOX6 MERGX6 CRF;24;40;9;8
691;1611962;;1071;3;26/05/2025;28/05/2025;4856582;3245415348782;330G MERGUEZ X6 CRF;72;148;13;66
691;1611962;;1071;3;26/05/2025;28/05/2025;4856695;3245415348850;330G CHIPOLATA HERBES X6 CRF;66;195;54;78
691;1611962;;1071;3;26/05/2025;28/05/2025;4856715;3245415348874;660G CHIPOX4 MERGX4 HERBX4 CRF;4;39;4;32
691;1611962;;1070;3;26/05/2025;28/05/2025;8003065;3248830002666;WW   PCI   SPN POULET BASQUAIS;8;27;20;0
691;1611962;;1070;3;26/05/2025;28/05/2025;8003762;3302740100796;120G TR HARICOTS ROUGES X4;8;62;47;8
691;1611962;;1070;3;26/05/2025;28/05/2025;8030856;3266980038915;200G CROQ VEGETAL FROMAGE X 2;8;30;19;4
691;1611962;;1070;3;26/05/2025;28/05/2025;4492544;3292070005161;175G HOUMOUS SESAME/POIS CHICH;60;181;34;90
