CDBASE;FOURNISSEUR;DATE_LIVRAISON;STOCK;RAL;MINIMUM_COMMANDE;PCB;QTÉPRÉVISION1;QTÉPRÉVISION2;CLASSE_STOCKAGE;COCHE_RAO;STOCK_MARCHAND;QTÉPRÉVISIONINIT1;QTÉPRÉVISIONINIT2;QTÉPROPOSÉE1;QTÉPROPOSÉE2;NUMERO_COMMANDE;DATE_L2;DATE_COMMANDE;QTÉPROPOSÉEFINALE;STOCK_REEL;CDBASE2;NUMERO_COMMANDE2;IFLS
13647;522;06/06/2025;4;24;12;12;0,1;0,03;1060;54;9999;0,1;0,03;9971,14;9999,03;1616149;07/06/2025;04/06/2025;9971;4;13647;1616149;617371              
13648;522;06/06/2025;232;108;108;108;1,58;0,69;1064;54;9999;1,58;0,69;9660,1;9999,69;1616147;07/06/2025;04/06/2025;9660;232;13648;1616147;158561              
13651;794;06/06/2025;0;;12;12;0;0;1060;46;0;0;0;0;0;1616187;07/06/2025;04/06/2025;0;0;13651;1616187;599342              
13652;794;06/06/2025;0;;12;12;0;0;1060;46;0;0;0;0;0;1616187;07/06/2025;04/06/2025;0;0;13652;1616187;599434              
18087;509;05/06/2025;4;24;24;12;9,44;4,89;1060;54;9999;9,45;4,89;9980,89;10003,89;1616143;06/06/2025;04/06/2025;9981;9;18087;1616143;981889              
20053;509;05/06/2025;18;36;36;12;22,44;8,89;1060;54;9999;22,45;8,89;9967,44;10007,89;1616143;06/06/2025;04/06/2025;9967;32;20053;1616143;674469              
20153;509;05/06/2025;0;;20;20;0;0;1060;46;0;0;0;0;0;1616143;06/06/2025;04/06/2025;0;0;20153;1616143;907780              
20233;794;06/06/2025;21;;18;6;0,04;0,02;1060;46;9999;0,04;0,02;9978,05;9999,02;1616187;07/06/2025;04/06/2025;9978;21;20233;1616187;684161              
20300;794;06/06/2025;4;42;12;6;0,19;0,07;1060;54;9999;0,19;0,07;9953,26;9999,07;1616187;07/06/2025;04/06/2025;9953;4;20300;1616187;310024              
20306;794;06/06/2025;8;;6;6;0,04;0,02;1060;54;9999;0,04;0,02;9991,06;9999,02;1616187;07/06/2025;04/06/2025;9991;8;20306;1616187;502661              
20323;509;05/06/2025;0;;24;6;15,78;7;1060;54;37;15,78;7;52,78;44;1616143;06/06/2025;04/06/2025;44;0;20323;1616143;061936              
20324;509;05/06/2025;16;;12;6;5,22;1,67;1060;54;20;5,22;1,67;9,67;21,67;1616143;06/06/2025;04/06/2025;10;18;20324;1616143;202222              
20327;509;05/06/2025;82;72;30;6;54,22;22,78;1060;54;9999;54,22;22,78;9899,44;10021,78;1616143;06/06/2025;04/06/2025;9899;111;20327;1616143;062035              
20328;509;05/06/2025;39;30;30;6;19,33;7,33;1060;54;9999;19,33;7,33;9949,22;10006,33;1616143;06/06/2025;04/06/2025;9949;49;20328;1616143;062283              
20333;509;05/06/2025;0;;6;6;0;0;1060;54;53;0;0;53;53;1616143;06/06/2025;04/06/2025;53;0;20333;1616143;062755              
20380;509;05/06/2025;221;192;24;24;28,56;10,89;1060;54;9999;28,56;10,89;9614,67;10009,89;1616143;06/06/2025;04/06/2025;9615;234;20380;1616143;640029              
20418;509;05/06/2025;0;;30;6;0;0;1060;46;19;0;0;19;19;1616143;06/06/2025;04/06/2025;19;0;20418;1616143;062682              
20431;509;05/06/2025;26;30;30;6;9,22;4,22;1060;54;9999;9,22;4,22;9952,22;10003,22;1616143;06/06/2025;04/06/2025;9952;30;20431;1616143;062947              
20446;794;06/06/2025;0;;120;12;0;0;1063;46;0;0;0;0;0;1616185;07/06/2025;04/06/2025;0;0;20446;1616185;674131              
20518;691;06/06/2025;0;;6;6;0,04;0,03;1070;46;0;0,04;0,03;0,04;0,03;1616165;07/06/2025;04/06/2025;0;0;20518;1616165;
20605;509;05/06/2025;67;90;45;15;54,89;22,22;1060;54;9999;54,89;22,22;9896,67;10021,22;1616143;06/06/2025;04/06/2025;9897;97;20605;1616143;706938              
20621;509;05/06/2025;19;30;30;15;14,44;5,22;1060;54;9999;14,44;5,22;9964,22;10004,22;1616143;06/06/2025;04/06/2025;9964;28;20621;1616143;081449              
20635;509;05/06/2025;23;;15;15;5,22;1,67;1060;54;20;5,22;1,67;2,67;21,67;1616143;06/06/2025;04/06/2025;3;25;20635;1616143;348714              
20641;509;05/06/2025;32;;24;12;8,89;4;1060;54;9999;8,89;4;9976;10003;1616143;06/06/2025;04/06/2025;9976;38;20641;1616143;014250              
20642;509;05/06/2025;0;;24;12;0;0;1060;54;9999;0;0;9999;9999;1616143;06/06/2025;04/06/2025;9999;0;20642;1616143;014255              
20645;509;05/06/2025;0;;36;12;0;0;1060;46;0;0;0;0;0;1616143;06/06/2025;04/06/2025;0;0;20645;1616143;212088              
20654;509;05/06/2025;25;;12;12;31;13;1060;54;9999;31;13;10004,78;10012;1616143;06/06/2025;04/06/2025;10005;44;20654;1616143;222743              
20655;794;06/06/2025;0;;32;16;8,44;4,44;1060;54;20;8,44;4,44;28,44;24,44;1616187;07/06/2025;04/06/2025;24;0;20655;1616187;232376              
20682;794;06/06/2025;2;24;12;6;0,08;0,03;1060;54;9999;0,08;0,03;9973,09;9999,03;1616187;07/06/2025;04/06/2025;9973;2;20682;1616187;623055              
20684;794;06/06/2025;0;24;24;12;9,44;3,67;1060;54;9999;9,45;3,67;9984,44;10002,67;1616187;07/06/2025;04/06/2025;9984;0;20684;1616187;248214              
20774;794;06/06/2025;300;;15;15;37,11;20;1060;54;9999;37,11;20;9735,86;10019;1616187;07/06/2025;04/06/2025;9736;311;20774;1616187;222515              
20933;557;06/06/2025;37;40;40;10;0,26;0,13;1080;54;9999;0,26;0,13;9922,34;9999,13;1616152;07/06/2025;04/06/2025;9922;37;20933;1616152;210396              
21005;509;05/06/2025;18;;18;6;5,78;3,22;1060;54;9999;5,78;3,22;9986,67;10002,22;1616143;06/06/2025;04/06/2025;9987;21;21005;1616143;J82307              
21022;509;05/06/2025;6;12;12;12;2,78;1,67;1060;54;9999;2,78;1,67;9983,89;10000,67;1616143;06/06/2025;04/06/2025;9984;7;21022;1616143;216422              
21041;691;06/06/2025;0;;10;10;0;0;1071;46;0;0;0;0;0;1616165;07/06/2025;04/06/2025;0;0;21041;1616165;860527              
21126;794;06/06/2025;61;24;12;6;0,08;0,04;1060;54;9999;0,07;0,04;9914,08;9999,04;1616187;07/06/2025;04/06/2025;9914;61;21126;1616187;698692              
21128;509;05/06/2025;16;36;36;12;6,67;3;1060;54;9999;6,67;3;9953,67;10002;1616143;06/06/2025;04/06/2025;9954;22;21128;1616143;131340              
21155;794;06/06/2025;0;;6;6;0,01;0;1060;54;0;0,01;0;0,01;0;1616187;07/06/2025;04/06/2025;0;0;21155;1616187;502671              
21177;509;05/06/2025;82;189;189;189;57;23,33;1060;54;9999;57;23,33;9784,78;10022,33;1616143;06/06/2025;04/06/2025;9785;111;21177;1616143;281255              
21179;509;05/06/2025;39;60;12;6;39,78;14,67;1060;54;9999;39,78;14,67;9940;10013,67;1616143;06/06/2025;04/06/2025;9940;65;21179;1616143;111241              
21196;794;06/06/2025;42;;36;12;16,33;6,78;1060;46;9999;16,33;6,78;9973,11;10005,78;1616187;07/06/2025;04/06/2025;9973;49;21196;1616187;245074              
21198;794;06/06/2025;2;60;24;12;24;10,33;1060;54;9999;24;10,33;9960,78;10009,33;1616187;07/06/2025;04/06/2025;9961;8;21198;1616187;046609              
21225;794;06/06/2025;38;30;30;30;21,22;8,56;1060;54;9999;21,22;8,56;9952,67;10007,56;1616187;07/06/2025;04/06/2025;9953;43;21225;1616187;076357              
21238;509;05/06/2025;40;60;30;10;28,67;11,11;1060;54;9999;28,67;11,11;9927,33;10010,11;1616143;06/06/2025;04/06/2025;9927;59;21238;1616143;028609              
21241;509;05/06/2025;75;112;56;14;59,56;27,44;1060;54;9999;59,55;27,44;9872;10026,44;1616143;06/06/2025;04/06/2025;9872;98;21241;1616143;657064              
21243;509;05/06/2025;37;48;48;12;0,16;0,07;1060;54;9999;0,16;0,07;9914,25;9999,07;1616143;06/06/2025;04/06/2025;9914;37;21243;1616143;515682              
21270;509;05/06/2025;25;36;24;12;23,67;11,33;1060;54;9999;23,67;11,33;9961,89;10010,33;1616143;06/06/2025;04/06/2025;9962;39;21270;1616143;111510              
21271;794;06/06/2025;0;72;36;12;17,22;5,11;1060;46;9999;17,22;5,11;9944,22;10004,11;1616187;07/06/2025;04/06/2025;9944;0;21271;1616187;245574              
21313;794;06/06/2025;13;;12;6;0,08;0,05;1060;54;9999;0,08;0,05;9986,08;9999,05;1616187;07/06/2025;04/06/2025;9986;13;21313;1616187;064472              
21323;509;06/06/2025;10;6;6;6;0,06;0,04;1060;54;9999;0,06;0,04;9983,07;9999,04;1616144;07/06/2025;04/06/2025;9983;10;21323;1616144;364488              
21384;794;06/06/2025;15;162;162;162;0,17;0,09;1064;54;9999;0,17;0,09;9822,23;9999,09;1616185;07/06/2025;04/06/2025;9822;15;21384;1616185;361028              
21455;794;06/06/2025;23;;12;6;0,1;0,01;1060;54;9999;0,1;0,01;9976,11;9999,01;1616187;07/06/2025;04/06/2025;9976;23;21455;1616187;305008              
21456;794;06/06/2025;9;;12;6;0,02;0,01;1060;54;9999;0,02;0,01;9990,02;9999,01;1616187;07/06/2025;04/06/2025;9990;9;21456;1616187;808171              
21457;794;06/06/2025;7;;12;6;0,02;0,01;1060;54;9999;0,01;0,01;9992,02;9999,01;1616187;07/06/2025;04/06/2025;9992;7;21457;1616187;305014              
21465;794;06/06/2025;0;;6;6;0;0;1060;46;10;0;0;10;10;1616187;07/06/2025;04/06/2025;10;0;21465;1616187;810194              
21475;794;06/06/2025;0;;3;3;0;0;1063;46;0;0;0;0;0;1616185;07/06/2025;04/06/2025;0;0;21475;1616185;345004              
21521;509;05/06/2025;76;48;48;16;39,78;18,11;1060;54;9999;39,78;18,11;9914,56;10017,11;1616143;06/06/2025;04/06/2025;9915;102;21521;1616143;020110              
21552;794;06/06/2025;8;18;18;6;0,02;0,01;1060;46;9999;0,02;0,01;9973,02;9999,01;1616187;07/06/2025;04/06/2025;9973;8;21552;1616187;317543              
21566;794;06/06/2025;0;;6;6;0;0;1060;54;0;0;0;0;0;1616187;07/06/2025;04/06/2025;0;0;21566;1616187;309131              
21567;794;06/06/2025;0;;6;6;0;0;1060;54;0;0;0;0;0;1616187;07/06/2025;04/06/2025;0;0;21567;1616187;309139              
21568;794;06/06/2025;14;;12;6;0,02;0,01;1060;54;9999;0,02;0,01;9985,03;9999,01;1616187;07/06/2025;04/06/2025;9985;14;21568;1616187;309162              
21591;509;05/06/2025;17;12;12;6;7,44;3,22;1060;54;9999;7,44;3,22;9977,67;10002,22;1616143;06/06/2025;04/06/2025;9978;21;21591;1616143;141208              
21632;509;05/06/2025;12;48;24;12;18,89;6,44;1060;54;9999;18,89;6,44;9957,44;10005,44;1616143;06/06/2025;04/06/2025;9957;24;21632;1616143;111227              
21635;509;05/06/2025;7;24;24;12;9,11;3,33;1060;54;9999;9,11;3,33;9977,33;10002,33;1616143;06/06/2025;04/06/2025;9977;11;21635;1616143;111453              
21644;509;05/06/2025;20;24;12;12;18,89;9,44;1060;54;9999;18,89;9,44;9973,78;10008,44;1616143;06/06/2025;04/06/2025;9974;33;21644;1616143;648982              
21663;509;05/06/2025;144;264;264;264;93,89;41,56;1060;54;9999;93,89;41,56;9685,11;10040,56;1616143;06/06/2025;04/06/2025;9685;195;21663;1616143;101063              
21664;509;05/06/2025;287;;264;264;74,44;31,78;1060;54;9999;74,44;31,78;9786,89;10030,78;1616143;06/06/2025;04/06/2025;9787;323;21664;1616143;101067              
21677;509;05/06/2025;56;60;24;12;43,22;18,11;1060;54;9999;43,22;18,11;9925,89;10017,11;1616143;06/06/2025;04/06/2025;9926;85;21677;1616143;111514              
21678;509;05/06/2025;46;48;24;12;38,67;15,11;1060;54;9999;38,67;15,11;9943,44;10014,11;1616143;06/06/2025;04/06/2025;9943;70;21678;1616143;111511              
21685;509;05/06/2025;16;30;30;6;13,89;5;1060;54;9999;13,89;5;9966,78;10004;1616143;06/06/2025;04/06/2025;9967;27;21685;1616143;104105              
21695;509;05/06/2025;25;;36;12;11,44;5,33;1060;54;23;11,44;5,33;9,89;28,33;1616143;06/06/2025;04/06/2025;10;27;21695;1616143;028182              
21856;509;05/06/2025;0;;6;6;0;0;1060;54;0;0;0;0;0;1616143;06/06/2025;04/06/2025;0;0;21856;1616143;489420              
21861;509;05/06/2025;29;12;12;6;12,33;4,67;1060;54;9999;12,33;4,67;9970,33;10003,67;1616143;06/06/2025;04/06/2025;9970;37;21861;1616143;041015              
21863;509;05/06/2025;36;48;24;8;26,44;11,67;1060;54;9999;26,45;11,67;9941,33;10010,67;1616143;06/06/2025;04/06/2025;9941;55;21863;1616143;041040              
21918;509;05/06/2025;17;24;24;6;8,67;4,89;1060;54;9999;8,67;4,89;9967;10003,89;1616143;06/06/2025;04/06/2025;9967;22;21918;1616143;035855              
21952;794;06/06/2025;34;;32;8;0,04;0,02;1060;54;9999;0,04;0,02;9965,05;9999,02;1616187;07/06/2025;04/06/2025;9965;34;21952;1616187;267640              
21955;794;06/06/2025;0;;8;8;0;0;1060;46;0;0;0;0;0;1616187;07/06/2025;04/06/2025;0;0;21955;1616187;
21958;794;06/06/2025;41;12;12;6;0,05;0,03;1060;46;9999;0,05;0,03;9946,06;9999,03;1616187;07/06/2025;04/06/2025;9946;41;21958;1616187;616462              
