EAN_Validé;ID_Cata;CODE_METI;Libellés;JourPromo;PrevisionJour;Prévision;Début;Fin;Conclusion;Détenable;SS_Famille
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;22/05/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;23/05/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;24/05/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;25/05/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;26/05/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;27/05/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;28/05/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;29/05/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;30/05/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;31/05/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;01/06/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;02/06/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;03/06/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3159470005347;2025-63 22;25499;220G MINIS VARIETY KELLOGG'S;04/06/2025;24;277,63;27/05/2025;09/06/2025;Saisi Noé;Oui;14010
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;10/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;11/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;12/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;13/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;14/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;15/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;16/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;17/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;18/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;19/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;20/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;21/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;22/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061193;2025-63 24;26200;200G 12T CROQUE EMMENTAL PRESI;23/06/2025;;1085,68;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;10/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;11/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;12/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;13/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;14/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;15/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;16/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;17/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;18/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;19/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;20/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;21/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;22/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3032220061100;2025-63 24;26203;200G BURGER EMMENTAL/CHEDDAR;23/06/2025;;2408,83;10/06/2025;23/06/2025;Saisi Noé;Oui;25052
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;15/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;16/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;17/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;18/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;19/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;20/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;21/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;22/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;23/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;24/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;25/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;26/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;27/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3392460250819;2025-63 21;28115;125G GRANY CHOCO/RIZ LU;28/05/2025;23;129,98;20/05/2025;02/06/2025;Saisi Noé;Oui;14015
3147690051107;2025-63 21;28444;1L WHISKY 40%V LABEL 5;15/05/2025;13;281;20/05/2025;02/06/2025;Saisi Noé;Oui;10410
3147690051107;2025-63 21;28444;1L WHISKY 40%V LABEL 5;16/05/2025;13;281;20/05/2025;02/06/2025;Saisi Noé;Oui;10410
3147690051107;2025-63 21;28444;1L WHISKY 40%V LABEL 5;17/05/2025;13;281;20/05/2025;02/06/2025;Saisi Noé;Oui;10410
3147690051107;2025-63 21;28444;1L WHISKY 40%V LABEL 5;18/05/2025;13;281;20/05/2025;02/06/2025;Saisi Noé;Oui;10410
3147690051107;2025-63 21;28444;1L WHISKY 40%V LABEL 5;19/05/2025;13;281;20/05/2025;02/06/2025;Saisi Noé;Oui;10410
3147690051107;2025-63 21;28444;1L WHISKY 40%V LABEL 5;20/05/2025;13;281;20/05/2025;02/06/2025;Saisi Noé;Oui;10410
