entrepot;EAN13;ifls;libelle article;Nombre Maxi Unités De Commande;pcb;ID;ID2;QteMaxUS
619;3016570002150;R27775;75CL TAITTINGER PRESTIG.BR ET;2;6;619-3016570002150;619-R27775;12
184;5449000283900;248010;BTE 6X33CL COCA COLA;1;168;184-5449000283900;184-248010;168
794;3023480110707;374217;70CL CHARTREUSE VERTE 55%V;1;6;794-3023480110707;794-374217;6
794;3023480140704;526921;70CL CHARTREUSE JAUNE 43 % VOL;1;6;794-3023480140704;794-526921;6
11;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;11-3119780239795;11-632891;60
11;3119780268276;K80341;20X25CL HEINEKEN PK 5%;108;1;11-3119780268276;11-K80341;108
14;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;14-3119780239795;14-632891;60
104;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;104-3119780239795;104-632891;60
104;3119780268054;706744;BTE 6X33 PK HEINEKEN  5%V;130;4;104-3119780268054;104-706744;520
174;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;174-3119780239795;174-632891;60
195;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;195-3119780239795;195-632891;60
205;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;205-3119780239795;205-632891;60
238;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;238-3119780239795;238-632891;60
239;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;239-3119780239795;239-632891;60
290;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;290-3119780239795;290-632891;60
435;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;435-3119780239795;435-632891;60
461;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;461-3119780239795;461-632891;60
469;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;469-3119780239795;469-632891;60
509;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;509-3119780239795;509-632891;60
522;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;522-3119780239795;522-632891;60
555;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;555-3119780239795;555-632891;60
560;3119780239795;632891;BLE 8X15CL BIERE HEINEKEN 5%V;20;3;560-3119780239795;560-632891;60
