EAN;TS_1_Mois;TS_2_Mois;TS_3_Mois;TS_Final;TS_1_Semaine;TS_Final_V2
30000117;100%;100%;100%;100%;;100%
30001015;;0%;7%;0%;;0%
30005501;100%;100%;100%;100%;;100%
30005518;100%;100%;100%;100%;100%;100%
30075214;;0%;33%;0%;;0%
30191266;;;100%;100%;;100%
30191273;;;100%;100%;;100%
40063690;100%;80%;93%;100%;;100%
40122274;100%;100%;100%;100%;100%;100%
40144108;;100%;100%;100%;;100%
41007563;;100%;100%;100%;;100%
42269861;100%;100%;100%;100%;;100%
42395034;100%;100%;100%;100%;;100%
42395065;;100%;100%;100%;;100%
42421825;100%;100%;100%;100%;;100%
42429128;100%;100%;100%;100%;;100%
42438724;100%;100%;100%;100%;100%;100%
42438731;100%;100%;100%;100%;;100%
42438809;100%;29%;38%;100%;100%;100%
42449522;100%;100%;100%;100%;;100%
50157617;;100%;100%;100%;;100%
50166374;;;100%;100%;;100%
50797417;;100%;100%;100%;;100%
54023857;100%;55%;55%;100%;;100%
54050082;100%;100%;100%;100%;100%;100%
54492653;100%;100%;100%;100%;100%;100%
59008484;79%;79%;79%;79%;;79%
59032823;100%;95%;93%;100%;100%;100%
59084051;100%;100%;100%;100%;;100%
59092544;100%;100%;100%;100%;100%;100%
59095552;100%;100%;100%;100%;100%;100%
59095842;100%;100%;100%;100%;;100%
59096054;100%;100%;100%;100%;100%;100%
59096078;;100%;100%;100%;;100%
59096528;;100%;100%;100%;;100%
59096573;100%;100%;100%;100%;;100%
59096580;100%;100%;100%;100%;;100%
59096597;100%;100%;100%;100%;;100%
59098812;;100%;100%;100%;;100%
59098836;100%;100%;100%;100%;;100%
59099031;;;100%;100%;;100%
59099604;30%;30%;30%;30%;50%;50%
59945765;;;100%;100%;;100%
59947516;;;100%;100%;;100%
59947530;;;100%;100%;;100%
59949305;;100%;100%;100%;;100%
59968092;;;100%;100%;;100%
59968320;;100%;100%;100%;;100%
59968337;;100%;100%;100%;;100%
80135258;;100%;100%;100%;;100%
80466437;;100%;100%;100%;;100%
80466468;;100%;100%;100%;;100%
80508816;;100%;100%;100%;;100%
80785385;100%;100%;100%;100%;100%;100%
80798026;100%;100%;100%;100%;;100%
80803522;;;100%;100%;;100%
80835424;;;100%;100%;;100%
80861263;100%;100%;99%;100%;100%;100%
80874669;;;100%;100%;;100%
80911784;;;100%;100%;;100%
80935490;100%;100%;100%;100%;;100%
80940159;;;100%;100%;;100%
80978756;;100%;100%;100%;;100%
87108651;100%;100%;100%;100%;;100%
87108712;100%;100%;100%;100%;100%;100%
87157154;83%;95%;96%;83%;40%;40%
87157215;100%;100%;100%;100%;100%;100%
87157277;100%;100%;100%;100%;100%;100%
87157635;;99%;99%;99%;;99%
87337839;100%;100%;100%;100%;;100%
87370300;;100%;100%;100%;;100%
87370317;;100%;100%;100%;;100%
87370324;;100%;100%;100%;;100%
87370331;;100%;100%;100%;;100%
90370175;0%;6%;17%;0%;0%;0%
96080894;67%;69%;69%;67%;100%;100%
96080900;100%;100%;100%;100%;;100%
96098608;;100%;100%;100%;;100%
96109670;;100%;100%;100%;;100%
96132876;100%;67%;67%;100%;;100%
96132906;100%;100%;100%;100%;;100%
96148402;100%;100%;100%;100%;;100%
96212196;;100%;100%;100%;;100%
96212219;;100%;100%;100%;;100%
11210697003;100%;100%;100%;100%;100%;100%
14113230018;100%;100%;100%;100%;;100%
14113230230;100%;100%;100%;100%;100%;100%
14113230261;67%;67%;88%;67%;100%;100%
14113910569;100%;100%;71%;100%;;100%
14113911672;100%;100%;100%;100%;100%;100%
14113911702;100%;100%;100%;100%;100%;100%
14113911719;;100%;100%;100%;;100%
14113913614;;100%;100%;100%;;100%
22314010025;100%;88%;92%;100%;100%;100%
22314014108;100%;100%;100%;100%;100%;100%
22796970053;100%;100%;100%;100%;;100%
22796970060;100%;100%;100%;100%;;100%
22796976017;100%;100%;100%;100%;;100%
22796976024;100%;100%;100%;100%;;100%
22796976116;100%;100%;100%;100%;;100%
22796976123;100%;100%;100%;100%;;100%
36000183399;100%;100%;100%;100%;;100%
37600106009;100%;100%;100%;100%;100%;100%
37600106412;100%;100%;100%;100%;;100%
