CDBase;TODAY;Stock_Date_J_Fin_Journee
2690050;02/06/2025;0,11
4262396;12/06/2025;0,19
6739742;06/06/2025;0,2
3840017;05/06/2025;0,21
5783275;07/06/2025;0,22
8020111;07/06/2025;0,25
7297384;05/06/2025;0,32
8020172;06/06/2025;0,36
1087592;02/06/2025;0,38
7110304;02/06/2025;0,39
6481460;04/06/2025;0,45
7527485;05/06/2025;0,48
7104639;08/06/2025;0,49
7931282;08/06/2025;0,5
1824134;03/06/2025;0,52
5660712;11/06/2025;0,52
3496212;04/06/2025;0,55
7313223;06/06/2025;0,55
7568296;05/06/2025;0,59
7636347;03/06/2025;0,65
7575619;05/06/2025;0,66
913728;08/06/2025;0,67
1103766;03/06/2025;0,69
3699774;04/06/2025;0,7
7213692;04/06/2025;0,7
7996296;03/06/2025;0,7
8005862;02/06/2025;0,71
7110304;03/06/2025;0,72
4981733;05/06/2025;0,76
8020218;02/06/2025;0,76
2291064;06/06/2025;0,79
7936170;02/06/2025;0,81
7060903;05/06/2025;0,82
6979780;05/06/2025;0,84
6827761;13/06/2025;0,88
4627285;03/06/2025;0,99
57731;12/06/2025;1
3855940;07/06/2025;1
4191381;14/06/2025;1
4856719;02/06/2025;1
4864774;14/06/2025;1
4955487;10/06/2025;1
5133492;04/06/2025;1
5518288;02/06/2025;1
5994896;06/06/2025;1
6219671;05/06/2025;1
6505286;08/06/2025;1
6690929;07/06/2025;1
6974135;04/06/2025;1
7077900;05/06/2025;1
7222329;12/06/2025;1
7407929;10/06/2025;1
7428931;02/06/2025;1
7481155;08/06/2025;1
7550778;04/06/2025;1
7651184;05/06/2025;1
7684380;12/06/2025;1
7814774;12/06/2025;1
7824843;04/06/2025;1
8000943;02/06/2025;1
7608229;07/06/2025;1,09
5360462;08/06/2025;1,3
4775985;02/06/2025;1,37
6590499;02/06/2025;1,41
2832052;05/06/2025;1,44
4228732;06/06/2025;1,44
7550783;02/06/2025;1,45
7036153;09/06/2025;1,5
7481148;04/06/2025;1,51
7471745;02/06/2025;1,53
3699774;08/06/2025;1,6
6529848;10/06/2025;1,64
4999557;03/06/2025;1,85
7580763;05/06/2025;1,85
6326810;13/06/2025;1,89
4915335;10/06/2025;1,9
1087648;15/06/2025;1,98
5043115;04/06/2025;1,98
7931282;13/06/2025;1,99
3742091;12/06/2025;2
4648860;03/06/2025;2
4804808;07/06/2025;2
4830211;04/06/2025;2
5885696;03/06/2025;2
6154676;15/06/2025;2
6552677;11/06/2025;2
6641014;10/06/2025;2
6947508;02/06/2025;2
6955711;04/06/2025;2
7005416;03/06/2025;2
7539202;13/06/2025;2
7573789;05/06/2025;2
7740921;12/06/2025;2
7896357;04/06/2025;2
4465716;02/06/2025;2,09
7914840;02/06/2025;2,11
4465716;05/06/2025;2,16
7452058;02/06/2025;2,16
4999557;02/06/2025;2,28
6326810;02/06/2025;2,31
8020017;06/06/2025;2,35
5783275;02/06/2025;2,36
329818;10/06/2025;2,37
138722;02/06/2025;2,38
4627285;15/06/2025;2,39
4757498;02/06/2025;2,4
4335160;04/06/2025;2,44
8029580;05/06/2025;2,61
4753357;03/06/2025;2,7
7509972;04/06/2025;2,73
