N° Rayon;Libellé Rayon;N° Groupe de familles;Libellé Groupe de famille;N° Famille;Libellé Famille;Facteur;A supprimer le
10;BOISSONS;100;SOFTS DRINKS;1000;GAZEIFIES;1;
10;BOISSONS;100;SOFTS DRINKS;1002;SIROPS;1;
10;BOISSONS;100;SOFTS DRINKS;1001;NON GAZEIFIES;1;
10;BOISSONS;101;BIERES ET CIDRES;1010;BIERES ET PANACHES;1;
10;BOISSONS;101;BIERES ET CIDRES;1011;CIDRES;1;
10;BOISSONS;102;EAUX;1022;EAUX AROMATISEES;1;
10;BOISSONS;102;EAUX;1020;EAUX PLATES;1;
10;BOISSONS;102;EAUX;1021;EAUX GAZEUSES;1;
10;BOISSONS;103;VINS;1031;VQPRD BLANCS;1;
10;BOISSONS;103;VINS;1030;VINS DE TABLES/PAYS;1;
10;BOISSONS;103;VINS;1032;VQPRD ROSES;1;
10;BOISSONS;103;VINS;1033;VQPRD ROUGES/HORS BORDEAUX;1;
10;BOISSONS;103;VINS;1034;VQPRD BORDEAUX ROUGES;1;
10;BOISSONS;103;VINS;1035;VINS FINS/ETRANGERS;1;
10;BOISSONS;103;VINS;1036;CHAMPAGNES;1;
10;BOISSONS;103;VINS;1037;MOUSSEUX/VINS PETILL.;1;
10;BOISSONS;104;SPIRITUEUX;1040;APERITIFS;1;
10;BOISSONS;104;SPIRITUEUX;1041;ALCOOLS;1;
10;BOISSONS;104;SPIRITUEUX;1042;DIGESTIFS;1;
10;BOISSONS;109;REMBOURSEMENT LIQUIDE;1099;REMBOURSEMENT LIQUIDE;1;
11;DROGUERIE;110;SOINS ET CONFORT DE LA MAISON;1100;VITRES;1;
11;DROGUERIE;110;SOINS ET CONFORT DE LA MAISON;1101;FOURS ET METAUX;1;
11;DROGUERIE;110;SOINS ET CONFORT DE LA MAISON;1102;MEUBLES ET SOLS;1;
11;DROGUERIE;110;SOINS ET CONFORT DE LA MAISON;1103;NETTOYANTS MULTI-USAGE;1;
11;DROGUERIE;110;SOINS ET CONFORT DE LA MAISON;1104;ENTRETIEN SANITAIRE;1;
11;DROGUERIE;110;SOINS ET CONFORT DE LA MAISON;1105;EPONGES;1;
11;DROGUERIE;110;SOINS ET CONFORT DE LA MAISON;1106;DETERGENT VAISSELLE;1;
11;DROGUERIE;110;SOINS ET CONFORT DE LA MAISON;1107;DETERGENT LAVE-VAISSELLE;1;
11;DROGUERIE;110;SOINS ET CONFORT DE LA MAISON;1108;PAPIER-MENAGE;1;
11;DROGUERIE;110;SOINS ET CONFORT DE LA MAISON;1109;DESODORISANT MAISON;1;
11;DROGUERIE;111;PETITE DROGUERIE SAISONNIERE;1110;CUIRS-CHAUSSURES;1;
11;DROGUERIE;111;PETITE DROGUERIE SAISONNIERE;1111;PRODUITS FEUX;1;
11;DROGUERIE;111;PETITE DROGUERIE SAISONNIERE;1112;INSECTICIDES;1;
11;DROGUERIE;112;SOINS DU LINGE;1123;ADOUCISSANT;1;
11;DROGUERIE;112;SOINS DU LINGE;1120;SAVONS-MENAGE;1;
11;DROGUERIE;112;SOINS DU LINGE;1121;ENTRETIEN LINGE;1;
