EAN;Libellé;Coefficient;Causes;Date suppression;Commentaires;CDBase;Date de mise en place ;Categorie
3560071093747;250G BUCHE CHEVRE AFFIN CRF CL;2.43;Renfort promo S22;29/05/2025;;6465026.0;2025-05-22;2 - Frais
3560070514786;200G GRANA PADANO AOP CRF EXT;2.45;Renfort promo S22;29/05/2025;;4237051.0;2025-05-22;2 - Frais
8024884500403;PET 1 5L EAU MINER COURMAYEUR;2.08;Renfort promo S22;29/05/2025;;997072.0;2025-05-22;1 - Sec
8024884600301;1 5L EAU MONT BLANC;1.91;Renfort promo S22;29/05/2025;;4881184.0;2025-05-22;1 - Sec
3245413780287;150G RILLETTE THON CRF EXTRA;2.7;Renfort promo S22;29/05/2025;;3285036.0;2025-05-22;2 - Frais
3270190113508;PET 1 5L EAU SCE AUV CRF CLASS;1.83;Renfort promo S22;29/05/2025;;843843.0;2025-05-22;1 - Sec
3560070247592;290G MIMOLETTE PORTION CRF CLA;2.23;Renfort promo S22;29/05/2025;;3269242.0;2025-05-22;2 - Frais
3560070891917;2X80G ST MARCELLIN IGP CRF;1.57;Renfort promo S22;29/05/2025;;5232341.0;2025-05-22;2 - Frais
3560070891948;180G SAINT FELICIEN CRF;1.78;Renfort promo S22;29/05/2025;;5232342.0;2025-05-22;2 - Frais
3560071034542;220G 20T QUART JAMB SEC CRF EX;2.53;Renfort promo S22;29/05/2025;;5752330.0;2025-05-22;2 - Frais
3245390230379;75CL CR BGNE H LOUIS BRUT CRF;10.76;Renfort promo S22;29/05/2025;;3392322.0;2025-05-22;1 - Sec
3245414679245;75 TAVEL RS MDD CAF ML;7.62;Renfort promo S22;29/05/2025;;3710541.0;2025-05-22;1 - Sec
5410228197089;12X25CL BIERE LEFFE 9 V;9.01;Renfort promo S22;29/05/2025;;3834450.0;2025-05-22;1 - Sec
5410228244028;12X25CL LEFFE TRIPLE 8 5 V;9.01;Renfort promo S22;29/05/2025;;6540283.0;2025-05-22;1 - Sec
5410228307235;12X25 CL LEFFE RUBY  5;4.65;Renfort promo S22;29/05/2025;;7587546.0;2025-05-22;1 - Sec
8720181297571;150ML DEO ATO AQUA BERGAM AXE;4.95;Renfort promo S22;29/05/2025;;7682996.0;2025-05-22;1 - Sec
8720181555695;150ML AXE DEO CHERRY KNB;4.54;Renfort promo S22;29/05/2025;;7984106.0;2025-05-22;1 - Sec
8720181601941;225ML AXE SG KNBI BLACK V;3.79;Renfort promo S22;29/05/2025;;7985386.0;2025-05-22;1 - Sec
8720181601965;225ML AXE SG KNBI CHERRY;3.79;Renfort promo S22;29/05/2025;;7985388.0;2025-05-22;1 - Sec
4005900363756;200ML KIDS SPRAY COLOR SPF50;6.64;Renfort promo S22;29/05/2025;;7606646.0;2025-05-22;1 - Sec
4005900465641;NSUN SPRAY PR BRZ SPF30 200ML;6.64;Renfort promo S22;29/05/2025;;6439654.0;2025-05-22;1 - Sec
4005900465689;NSUN SPRAY PRT BRZ SPF50 200ML;6.64;Renfort promo S22;29/05/2025;;6439715.0;2025-05-22;1 - Sec
3560070181094;500G BTE BOIS BRIE ROND CRF CL;3.48;Renfort promo S22;29/05/2025;;2987520.0;2025-05-22;2 - Frais
