N° Rayon;Libellé Rayon;N° Famille;Libellé Famille;N° Sous-Famille;Libellé Sous-Famille;Facteur;Date suppression
10;BOISSONS;1000;GAZEIFIES;10000;LIMONADES ET LIMES;100%;
10;BOISSONS;1000;GAZEIFIES;10001;SODAS;100%;
10;BOISSONS;1000;GAZEIFIES;10002;BASE EXTRAIT NATUREL DE FRUITS;100%;
10;BOISSONS;1000;GAZEIFIES;10003;TONICS & BITTER;100%;
10;BOISSONS;1000;GAZEIFIES;10004;COLAS;100%;
10;BOISSONS;1000;GAZEIFIES;10005;A BASE DE THE;100%;
10;BOISSONS;1001;NON GAZEIFIES;10010;JUS ET NECTARS A L'ORANGE;100%;
10;BOISSONS;1001;NON GAZEIFIES;10011;PAMPLEMOUSSE ET AGRUMES;100%;
10;BOISSONS;1001;NON GAZEIFIES;10012;JUS DE POMME ET DE RAISIN;100%;
10;BOISSONS;1001;NON GAZEIFIES;10013;AUTRES MONO FRUITS;100%;
10;BOISSONS;1001;NON GAZEIFIES;10014;MELANGES DE FRUITS;100%;
10;BOISSONS;1001;NON GAZEIFIES;10015;DIETETIQUE ET JUS DE LEGUMES;100%;
10;BOISSONS;1001;NON GAZEIFIES;10016;BOISSON AUX FRUIT ET PLANTE;100%;
10;BOISSONS;1001;NON GAZEIFIES;10017;BOISSON A BASE DE THE;100%;
10;BOISSONS;1001;NON GAZEIFIES;10018;BOISSONS CHOCOLATEES;100%;
10;BOISSONS;1001;NON GAZEIFIES;10019;BOISSONS ENERGISANTES;100%;
10;BOISSONS;1002;SIROPS;10020;A BASE DE PLANTE;100%;
10;BOISSONS;1002;SIROPS;10021;FRUITS ROUGES;100%;
10;BOISSONS;1002;SIROPS;10022;AGRUMES;100%;
10;BOISSONS;1002;SIROPS;10023;AUTRES FRUITS;100%;
10;BOISSONS;1002;SIROPS;10024;BOISSON A RECONSTITUER;100%;
10;BOISSONS;1009;SNACKING SOFTS DRINKS;10098;SNACKING SOFTS DRINKS;100%;
10;BOISSONS;1010;BIERES ET PANACHES;10100;BIERES DE LUXE;100%;
10;BOISSONS;1010;BIERES ET PANACHES;10101;BIERES SPECIALES;100%;
10;BOISSONS;1010;BIERES ET PANACHES;10102;BIERES DE SPECIALITES;100%;
10;BOISSONS;1010;BIERES ET PANACHES;10103;BIERES S/ALCOOL ET ALLEGEES;100%;
10;BOISSONS;1010;BIERES ET PANACHES;10104;PANACHES;100%;
10;BOISSONS;1011;CIDRES;10110;CIDRES/PETILLANTS;100%;
10;BOISSONS;1019;SNACKING BIERES ET CIDRES;10198;SNACKING BIERES ET CIDRES;100%;
10;BOISSONS;1020;EAUX PLATES;10200;EAUX PLATES;100%;
10;BOISSONS;1021;EAUX GAZEUSES;10210;EAUX GAZEUSES ET GAZEIFIEES;100%;
10;BOISSONS;1021;EAUX GAZEUSES;10211;EAUX DU MONDE;100%;
10;BOISSONS;1022;EAUX AROMATISEES;10220;EAUX ARO PLATES;100%;
10;BOISSONS;1022;EAUX AROMATISEES;10221;EAUX ARO GAZEUSE ET GAZEIFIEE;100%;
10;BOISSONS;1029;SNACKING EAUX;10298;SNACKING EAUX;100%;
10;BOISSONS;1030;VINS DE TABLES/PAYS;10300;VINS DE TABLE BLANCS;100%;
10;BOISSONS;1030;VINS DE TABLES/PAYS;10301;VINS DE TABLE ROSES;100%;
10;BOISSONS;1030;VINS DE TABLES/PAYS;10302;VINS DE TABLE ROUGES;100%;
10;BOISSONS;1030;VINS DE TABLES/PAYS;10303;VINS DE PAYS BLANCS;100%;
10;BOISSONS;1030;VINS DE TABLES/PAYS;10304;VINS DE PAYS ROSES;100%;
10;BOISSONS;1030;VINS DE TABLES/PAYS;10305;VINS DE PAYS ROUGES;100%;
10;BOISSONS;1031;VQPRD BLANCS;10310;VINS D ALSACE;100%;
10;BOISSONS;1031;VQPRD BLANCS;10311;VINS DU VAL DE LOIRE;100%;
10;BOISSONS;1031;VQPRD BLANCS;10312;BOURGOGNE;100%;
10;BOISSONS;1031;VQPRD BLANCS;10313;BORDEAUX SECS;100%;
10;BOISSONS;1031;VQPRD BLANCS;10314;BORDEAUX MOELLEUX;100%;
10;BOISSONS;1031;VQPRD BLANCS;10315;SUD OUEST;100%;
10;BOISSONS;1031;VQPRD BLANCS;10316;SAVOIE JURA;100%;
10;BOISSONS;1031;VQPRD BLANCS;10317;COTES DU RHONE;100%;
10;BOISSONS;1031;VQPRD BLANCS;10318;LANGUEDOC-ROUSSILLON;100%;
10;BOISSONS;1031;VQPRD BLANCS;10319;VQPRD BLANC PROVENCE-CORSE;100%;
10;BOISSONS;1032;VQPRD ROSES;10320;VINS DE PROVENCE-CORSE;100%;
10;BOISSONS;1032;VQPRD ROSES;10321;VINS DU VAL DE LOIRE;100%;
10;BOISSONS;1032;VQPRD ROSES;10322;BORDEAUX;100%;
10;BOISSONS;1032;VQPRD ROSES;10323;COTES DU RHONE;100%;
10;BOISSONS;1032;VQPRD ROSES;10324;ALSACE;100%;
10;BOISSONS;1032;VQPRD ROSES;10325;SUD OUEST;100%;
10;BOISSONS;1032;VQPRD ROSES;10326;LANGUEDOC ROUSSILLON;100%;
10;BOISSONS;1032;VQPRD ROSES;10327;BEAUJOLAIS BOURGOGNE;100%;
10;BOISSONS;1033;VQPRD ROUGES/HORS BORDEAUX;10330;VINS DE BOURGOGNE;100%;
10;BOISSONS;1033;VQPRD ROUGES/HORS BORDEAUX;10331;VINS DU BEAUJOLAIS;100%;
10;BOISSONS;1033;VQPRD ROUGES/HORS BORDEAUX;10332;VINS DES COTES DU RHONE;100%;
10;BOISSONS;1033;VQPRD ROUGES/HORS BORDEAUX;10333;VIN DU LANGUEDOC ROUSSILLON;100%;
10;BOISSONS;1033;VQPRD ROUGES/HORS BORDEAUX;10334;VINS DU SUD OUEST;100%;
10;BOISSONS;1033;VQPRD ROUGES/HORS BORDEAUX;10335;VINS DU VAL DE LOIRE;100%;
10;BOISSONS;1033;VQPRD ROUGES/HORS BORDEAUX;10336;VINS DE JURA-SAVOIE;100%;
10;BOISSONS;1033;VQPRD ROUGES/HORS BORDEAUX;10337;VINS DE PROVENCE-CORSE;100%;
10;BOISSONS;1034;VQPRD BORDEAUX ROUGES;10340;BORDEAUX GENERIQUE;100%;
10;BOISSONS;1034;VQPRD BORDEAUX ROUGES;10341;BORDEAUX SUPERIEUR;100%;
10;BOISSONS;1034;VQPRD BORDEAUX ROUGES;10342;COTES DE BORDEAUX;100%;
10;BOISSONS;1034;VQPRD BORDEAUX ROUGES;10343;MEDOC/HAUT MEDOC;100%;
10;BOISSONS;1034;VQPRD BORDEAUX ROUGES;10344;APPELLATIONS VILLAGES;100%;
