CDBASE;DATE_Livraison;PICKING;QTE_Permanent;QTE_Promo;QTE_totale;CA_HT_Permanent;CA_HT_Promo;CA_HT_total;CA_TTC_Permanent;CA_TTC_Promo;CA_TTC_total
13647;27/05/2025;Picking Entrepot;3;;3;2;;2;2,4;;2,4
13648;27/05/2025;Picking Entrepot;13;;13;15,1;;15,1;18,1;;18,1
18087;27/05/2025;Picking Entrepot;1;;1;1,5;;1,5;1,6;;1,6
20053;27/05/2025;Picking Entrepot;5;;5;6,4;;6,4;6,8;;6,8
20300;27/05/2025;Picking Entrepot;4;;4;10,3;;10,3;10,8;;10,8
20327;27/05/2025;Picking Entrepot;8;;8;19,4;;19,4;20,5;;20,5
20328;27/05/2025;Picking Entrepot;4;;4;11,8;;11,8;12,5;;12,5
20380;27/05/2025;Picking Entrepot;2;;2;1,6;;1,6;1,7;;1,7
20431;27/05/2025;Picking Entrepot;5;;5;11,7;;11,7;12,3;;12,3
20605;27/05/2025;Picking Entrepot;9;;9;13,3;;13,3;14,1;;14,1
20621;27/05/2025;Picking Entrepot;6;;6;10,6;;10,6;11,1;;11,1
20641;27/05/2025;Picking Entrepot;1;;1;1,1;;1,1;1,2;;1,2
20654;27/05/2025;Picking Entrepot;4;;4;6,4;;6,4;6,8;;6,8
20684;27/05/2025;Picking Entrepot;2;;2;4,5;;4,5;4,8;;4,8
20774;27/05/2025;Picking Entrepot;1;4;5;1,9;7,6;9,5;2,3;9,2;11,4
21128;27/05/2025;Picking Entrepot;2;;2;3;;3;3,2;;3,2
21177;27/05/2025;Picking Entrepot;6;;6;11;;11;11,6;;11,6
21179;27/05/2025;Picking Entrepot;8;;8;14,4;;14,4;15,2;;15,2
21198;27/05/2025;Picking Entrepot;1;;1;2,2;;2,2;2,4;;2,4
21225;27/05/2025;Picking Entrepot;;1;1;;1,1;1,1;;1,3;1,3
21238;27/05/2025;Picking Entrepot;7;;7;15,4;;15,4;16,2;;16,2
21241;27/05/2025;Picking Entrepot;5;;5;8,5;;8,5;8,9;;8,9
21243;27/05/2025;Picking Entrepot;3;;3;3,5;;3,5;4,2;;4,2
21270;27/05/2025;Picking Entrepot;3;;3;2,8;;2,8;3;;3
21271;27/05/2025;Picking Entrepot;6;;6;9,5;;9,5;10;;10
21313;27/05/2025;Picking Entrepot;1;;1;7,2;;7,2;8,7;;8,7
21384;27/05/2025;Picking Entrepot;1;;1;16,3;;16,3;19,6;;19,6
21455;27/05/2025;Picking Entrepot;1;;1;4,1;;4,1;4,9;;4,9
21521;27/05/2025;Picking Entrepot;8;;8;9,9;;9,9;10,4;;10,4
21568;27/05/2025;Picking Entrepot;1;;1;3,1;;3,1;3,7;;3,7
21632;27/05/2025;Picking Entrepot;2;;2;2,9;;2,9;3,1;;3,1
21644;27/05/2025;Picking Entrepot;2;;2;2,9;;2,9;3,1;;3,1
21663;27/05/2025;Picking Entrepot;14;;14;16,7;;16,7;17,6;;17,6
21664;27/05/2025;Picking Entrepot;11;;11;12,3;;12,3;13;;13
21677;27/05/2025;Picking Entrepot;5;;5;5,8;;5,8;6,1;;6,1
21678;27/05/2025;Picking Entrepot;6;;6;7,2;;7,2;7,6;;7,6
21685;27/05/2025;Picking Entrepot;4;;4;5,5;;5,5;5,8;;5,8
21861;27/05/2025;Picking Entrepot;1;;1;4,7;;4,7;5;;5
21863;27/05/2025;Picking Entrepot;11;;11;26,8;;26,8;28,2;;28,2
21918;27/05/2025;Picking Entrepot;2;;2;11,9;;11,9;12,5;;12,5
22133;27/05/2025;Picking Entrepot;8;;8;134,3;;134,3;161,2;;161,2
22276;27/05/2025;Picking Entrepot;5;;5;17,3;;17,3;18,2;;18,2
22348;27/05/2025;Picking Entrepot;1;;1;2,5;;2,5;2,6;;2,6
22381;27/05/2025;Picking Entrepot;1;;1;2;;2;2,4;;2,4
22461;27/05/2025;Picking Entrepot;3;;3;30,1;;30,1;36,1;;36,1
22480;27/05/2025;Picking Entrepot;1;;1;5,8;;5,8;6,2;;6,2
22482;27/05/2025;Picking Entrepot;1;;1;7,6;;7,6;8;;8
22485;27/05/2025;Picking Entrepot;3;;3;18,2;;18,2;19,2;;19,2
22999;27/05/2025;Picking Entrepot;4;;4;5,1;;5,1;6,1;;6,1
23447;27/05/2025;Picking Entrepot;5;;5;13,2;;13,2;13,9;;13,9
23460;27/05/2025;Picking Entrepot;12;;12;28,3;;28,3;29,9;;29,9
23509;27/05/2025;Picking Entrepot;2;1;3;7,4;3,5;10,9;7,8;3,7;11,5
23598;27/05/2025;Picking Entrepot;2;;2;8,1;;8,1;8,5;;8,5
23643;27/05/2025;Picking Entrepot;4;4;8;37,8;37,8;75,7;45,4;45,4;90,8
23765;27/05/2025;Picking Entrepot;17;;17;45,1;;45,1;47,5;;47,5
23847;27/05/2025;Picking Entrepot;4;;4;6,2;;6,2;6,6;;6,6
23851;27/05/2025;Picking Entrepot;3;;3;5,7;;5,7;6;;6
23937;27/05/2025;Picking Entrepot;;2;2;;2,3;2,3;;2,8;2,8
23982;27/05/2025;Picking Entrepot;6;;6;59;;59;70,7;;70,7
24095;27/05/2025;Picking Entrepot;10;;10;15,8;;15,8;16,7;;16,7
24328;27/05/2025;Picking Entrepot;5;;5;7,4;;7,4;7,8;;7,8
24413;27/05/2025;Picking Entrepot;1;;1;4,6;;4,6;4,8;;4,8
24631;27/05/2025;Picking Entrepot;;1;1;;5,5;5,5;;6,6;6,6
24813;27/05/2025;Picking Entrepot;10;;10;16,6;;16,6;17,5;;17,5
24987;27/05/2025;Picking Entrepot;2;;2;4,8;;4,8;5;;5
25148;27/05/2025;Picking Entrepot;;2;2;;8,6;8,6;;9,1;9,1
25347;27/05/2025;Picking Entrepot;3;;3;7,7;;7,7;8,1;;8,1
25372;27/05/2025;Picking Entrepot;6;;6;12,4;;12,4;14,9;;14,9
25499;27/05/2025;Picking Entrepot;4;2;6;11,2;5,9;17,1;11,8;6,2;18
25510;27/05/2025;Picking Entrepot;1;;1;2,5;;2,5;2,6;;2,6
25532;27/05/2025;Picking Entrepot;5;;5;12,6;;12,6;13,3;;13,3
25646;27/05/2025;Picking Entrepot;;3;3;;5,1;5,1;;5,4;5,4
25657;27/05/2025;Picking Entrepot;;6;6;;13,7;13,7;;14,4;14,4
26136;27/05/2025;Picking Entrepot;1;1;2;2,4;2,4;4,7;2,5;2,5;5
26177;27/05/2025;Picking Entrepot;8;;8;6,5;;6,5;6,9;;6,9
26200;27/05/2025;Picking Entrepot;6;;6;9,9;;9,9;10,4;;10,4
26203;27/05/2025;Picking Entrepot;29;;29;46,5;;46,5;49;;49
27140;27/05/2025;Picking Entrepot;;4;4;;16,6;16,6;;20;20
27951;27/05/2025;Picking Entrepot;5;;5;23,5;;23,5;24,8;;24,8
27953;27/05/2025;Picking Entrepot;2;;2;3,4;;3,4;3,5;;3,5
27976;27/05/2025;Picking Entrepot;5;;5;16,1;;16,1;19,2;;19,2
28033;27/05/2025;Picking Entrepot;5;;5;11,1;;11,1;11,8;;11,8
28115;27/05/2025;Picking Entrepot;;8;8;;16;16;;16,9;16,9
28124;27/05/2025;Picking Entrepot;;2;2;;10,8;10,8;;12,9;12,9
28157;27/05/2025;Picking Entrepot;13;;13;15,9;;15,9;16,8;;16,8
28160;27/05/2025;Picking Entrepot;5;;5;7;;7;7,4;;7,4
28444;27/05/2025;Picking Entrepot;3;12;15;44,8;178,9;223,6;53,7;214,7;268,4
28466;27/05/2025;Picking Entrepot;1;;1;14,9;;14,9;17,9;;17,9
28532;27/05/2025;Picking Entrepot;1;;1;1,2;;1,2;1,3;;1,3
28875;27/05/2025;Picking Entrepot;2;;2;2,4;;2,4;2,5;;2,5
29109;27/05/2025;Picking Entrepot;;1;1;;2,7;2,7;;2,8;2,8
29444;27/05/2025;Picking Entrepot;2;;2;10,4;;10,4;11;;11
29932;27/05/2025;Picking Entrepot;;1;1;;2,5;2,5;;2,6;2,6
30666;27/05/2025;Picking Entrepot;3;4;7;5;6,6;11,6;5,2;7;12,2
30692;27/05/2025;Picking Entrepot;4;;4;10,4;;10,4;11;;11
30924;27/05/2025;Picking Entrepot;;6;6;;16,2;16,2;;17,1;17,1
31011;27/05/2025;Picking Entrepot;2;;2;5,9;;5,9;6,2;;6,2
31040;27/05/2025;Picking Entrepot;53;;53;60,3;;60,3;63,7;;63,7
31497;27/05/2025;Picking Entrepot;;3;3;;7,7;7,7;;8,1;8,1
31499;27/05/2025;Picking Entrepot;1;;1;1,7;;1,7;1,8;;1,8
32812;27/05/2025;Picking Entrepot;12;;12;22,6;;22,6;23,8;;23,8
32814;27/05/2025;Picking Entrepot;15;18;33;40,8;48;88,8;43,1;50,6;93,7
32816;27/05/2025;Picking Entrepot;3;6;9;8,2;15,9;24,1;8,7;16,8;25,5
33007;27/05/2025;Picking Entrepot;1;;1;2,3;;2,3;2,5;;2,5
33177;27/05/2025;Picking Entrepot;1;;1;2,5;;2,5;2,6;;2,6
33942;27/05/2025;Picking Entrepot;3;;3;3,3;;3,3;3,5;;3,5
34954;27/05/2025;Picking Entrepot;3;;3;5;;5;5,3;;5,3
35586;27/05/2025;Picking Entrepot;6;;6;6,8;;6,8;7,1;;7,1
35813;27/05/2025;Picking Entrepot;2;;2;6,5;;6,5;6,9;;6,9
36573;27/05/2025;Picking Entrepot;26;;26;43,9;;43,9;46,3;;46,3
36594;27/05/2025;Picking Entrepot;7;;7;18;;18;19;;19
36676;27/05/2025;Picking Entrepot;8;;8;9,6;;9,6;10,1;;10,1
36736;27/05/2025;Picking Entrepot;14;;14;20,8;;20,8;21,9;;21,9
37085;27/05/2025;Picking Entrepot;9;;9;16,4;;16,4;17,3;;17,3
37087;27/05/2025;Picking Entrepot;5;;5;9;;9;9,5;;9,5
37116;27/05/2025;Picking Entrepot;3;;3;5,4;;5,4;5,7;;5,7
37257;27/05/2025;Picking Entrepot;1;;1;7,6;;7,6;8;;8
37393;27/05/2025;Picking Entrepot;1;;1;2,6;;2,6;2,8;;2,8
37695;27/05/2025;Picking Entrepot;3;;3;2,8;;2,8;3;;3
38070;27/05/2025;Picking Entrepot;23;2;25;82,6;7,2;89,8;87,2;7,6;94,8
38687;27/05/2025;Picking Entrepot;1;;1;4,5;;4,5;4,8;;4,8
39870;27/05/2025;Picking Entrepot;4;;4;9,9;;9,9;10,5;;10,5
39964;27/05/2025;Picking Entrepot;5;;5;9,5;;9,5;10;;10
39975;27/05/2025;Picking Entrepot;2;;2;3,7;;3,7;3,9;;3,9
41164;27/05/2025;Picking Entrepot;3;;3;8,7;;8,7;9,2;;9,2
41731;27/05/2025;Picking Entrepot;;2;2;;23;23;;27,6;27,6
41827;27/05/2025;Picking Entrepot;1;;1;2,7;;2,7;3,3;;3,3
42138;27/05/2025;Picking Entrepot;1;;1;1,6;;1,6;1,9;;1,9
42600;27/05/2025;Picking Entrepot;12;2;14;18;3;21;19;3,2;22,2
43793;27/05/2025;Picking Entrepot;3;;3;4,2;;4,2;4,5;;4,5
43968;27/05/2025;Picking Entrepot;14;;14;26,8;;26,8;28,3;;28,3
43978;27/05/2025;Picking Entrepot;1;;1;14;;14;16,8;;16,8
45099;27/05/2025;Picking Entrepot;19;;19;23,2;;23,2;27,9;;27,9
46145;27/05/2025;Picking Entrepot;1;;1;3,2;;3,2;3,4;;3,4
48950;27/05/2025;Picking Entrepot;1;;1;2,7;;2,7;2,9;;2,9
48951;27/05/2025;Picking Entrepot;10;;10;16,6;;16,6;19,9;;19,9
50172;27/05/2025;Picking Entrepot;9;;9;25,9;;25,9;27,4;;27,4
51125;27/05/2025;Picking Entrepot;2;;2;3,2;;3,2;3,4;;3,4
51829;27/05/2025;Picking Entrepot;6;;6;47,5;;47,5;50,1;;50,1
51965;27/05/2025;Picking Entrepot;;5;5;;10,2;10,2;;10,8;10,8
52773;27/05/2025;Picking Entrepot;1;;1;4,1;;4,1;4,3;;4,3
54388;27/05/2025;Picking Entrepot;1;;1;5,4;;5,4;5,7;;5,7
55811;27/05/2025;Picking Entrepot;2;;2;8,9;;8,9;9,4;;9,4
56117;27/05/2025;Picking Entrepot;19;;19;14,1;;14,1;16,9;;16,9
