EAN Final;Libellé;Code Méti;VMJ;Classement;Ligne;Contrôle
3,27019E+12;1 5L EAU DE MONTAGNE CRF CLASS;843843;1157,289848;1;711;1
3,27655E+12;BP 1L LAIT 1/2ECREME CRF;5940259;1028,689526;2;5046;1
3,56007E+12;BK 1L LAIT 1/2 ECREME SIMPL;7135468;1015,905489;3;7371;1
3,27019E+12;1L BLE LAIT 1/2 ECREME BIO CRF;1107212;838,3922808;4;909;1
3,27655E+12;BRK 1L LAIT UHT PLAINE 1/2EC C;5940223;819,6007993;5;5045;1
3,25797E+12;PET 1L EAU MINER MONT ROUCOUS;3867906;774,5740726;6;2513;1
3,27019E+12;12 0EUF PLEIN AIR CRF ORIGINAL;1109678;694,4367255;7;914;1
3,25438E+12;PET 1L EAU CRISTALINE;4112017;664,9037053;8;2713;1
3,25438E+12;PET 1 5L EAU PETILL CRISTALINE;960314;642,0721559;9;745;1
3,05764E+12;PET 1 5L VOLVIC;6475335;640,2622618;10;5962;1
3,06832E+12;EVIAN 1 5L PET MAGNUM;6673710;635,3403921;11;6288;1
8,00227E+12;PET 1L EAU SAN PELLEGRINO;474695;513,8388571;12;431;1
3,27019E+12;200G EMMENTAL RAPE ZIP CRF CLA;1116851;476,1395226;13;923;1
3,56007E+12;100G PARMI REG AOP 18M CRF EXT;2832486;452,702157;14;1641;1
3,06832E+12;PET 1 15L SALVETAT 50 RPET;6985534;447,6022587;15;7082;1
3,24834E+12;1L LAIT DEMI ECREME CQLP;6072801;420,5196387;16;5255;1
3,24541E+12;3X20CL BK CREM S E 18  CRF CLA;2249728;413,5969846;17;1275;1
3,56007E+12;1L VINAIGRE ALC CRIST 8  SIMPL;4247568;360,9903922;18;2837;1
3,56007E+12;BP 1L LAIT ENTIER CRF BIO;4491252;350,9436497;19;3097;1
3,24541E+12;BLE 50CL LAIT 1/2EC CRF CLASSI;3511157;341,8619921;20;2093;1
3,56007E+12;12X OEUFS PPA FQC CRF;5053365;338,225987;21;3875;1
3,56007E+12;X15 OEUFS MOYEN CRF BIO;6905381;337,8999861;22;6788;1
3,27019E+12;500G EMMENT FRANCA RAP CRF CLA;1115976;334,3282214;23;922;1
7,61304E+12;PET 1L PERRIER;6044656;327,2817369;24;5220;1
3,56007E+12;1L BK LAIT 1/2 EC CRF BIO;7717787;321,0706343;25;9438;1
3,27019E+12;250G PLQ BEURRE DX CRF CLA;843392;309,4775188;26;642;1
3,56007E+12;125G MOZZARELLA CRF CLASSIC;2265436;305,295044;27;1287;1
3,56007E+12;LOT3X125G MOZZARELL CARREFOUR;2250202;298,0736308;28;1276;1
3,56007E+12;350G EMMENTAL RAPE CRF CLASSIC;6575266;295,7991243;29;6151;1
3,56007E+12;12RLX PH BLC 2P CONFORT CRF ES;3741179;292,7879787;30;2322;1
3,56007E+12;BT 3X110MOUCH CONFOR 3P CRF SF;2828693;288,5883496;31;1640;1
3,06832E+12;PET BADOIT 1L;5754352;270,6258732;32;4767;1
3,56007E+12;X24 PH 2 PLIS BLANC CRF ESSEN;5622123;266,3227754;33;4586;1
3,06832E+12;PET 1L EAU MINERALE EVIAN;816304;264,8551936;34;605;1
3,56007E+12;BLE 1L LAIT SS LACTOSE CRF CL;3990746;263,4083011;35;2578;1
3,56007E+12;1KG RIZ BASMATI CRF EXTRA;4957752;262,0823307;36;3775;1
3,27019E+12;1KG FARINE BLE FLUID T45 CRF C;843656;254,7902805;37;686;1
